Crop,N,P,K,Temperature,Rainfall,Yield_Tons_Acre
Papaya,90.61706712354449,79.3653476008658,128.00220517659977,28.963666835914918,150.0227680482452,17.873735895321985
Papaya,95.29731397996635,75.29699065628328,112.47517930358785,27.565275401085607,168.7195170439344,14.01081566460959
Papaya,96.50128431009229,70.90329015033724,120.66696615987391,30.405844956947917,151.594120666882,15.000928972900793
Papaya,93.40484434188238,70.60109171435249,112.39311587126393,27.638075270691893,141.6299501201176,15.43310798408548
Papaya,105.38628053122581,88.93584006169925,123.04605734965925,31.114469543507106,168.4787000226122,12.727371007295432
Papaya,105.35384231335863,71.11164299590442,126.66677607543411,30.176448315551408,162.90640722125585,15.597346387187812
Papaya,93.41528352873948,82.79515674100688,127.76762311091548,30.02796240574821,165.69979581739534,17.885729726454667
Papaya,95.99320808633588,83.64011554047214,115.30124757525333,30.65700418360595,175.7319589685394,17.31243293897987
Papaya,95.90690283197578,79.65804573569675,118.09583375765536,30.857547838843814,159.37307331992056,17.555805172904893
Papaya,107.84890009283771,75.93258949849948,116.63385548152195,30.67876445748104,179.79162420685293,14.141300182399837
Papaya,96.05784288939057,71.0563776755888,118.89882823073415,27.851205837225045,124.42445828536827,12.698215028222334
Papaya,106.82564309858199,85.83406310609368,122.1309940977297,28.72442299122758,122.4062390276539,13.220633322165996
Papaya,92.78458879091674,74.79251236637307,128.99356291984287,29.10245987040801,167.4538806053723,17.221088082389638
Papaya,92.76531018911238,88.50500186410217,129.99739989648322,27.878939097421295,138.03240647545303,16.54084991443428
Papaya,92.0160961691822,73.34594316707525,128.48376747939884,31.251602830858353,142.7697890731694,14.409252850361595
Papaya,107.27659128977189,86.35117508214785,110.49185389070298,27.064497215386723,141.3220627793085,15.467341257205803
Papaya,100.80979320348021,86.23058080384199,122.40786104664073,29.83332619877705,169.2274649682546,13.6628557181546
Papaya,99.26053858109563,81.50259291600298,127.94863713490479,31.837160506768612,143.91179705069118,17.60586565207611
Papaya,105.75149664508967,73.01841813124547,113.31257440564423,30.042264258904453,151.36049294099746,15.5690775824062
Papaya,105.69070327003391,86.82796886320627,129.69046064898902,28.326307823585267,144.36054801928447,15.043524392959805
Papaya,97.1371606952639,80.02808429663332,111.28357979844674,28.035104862621118,152.97890633733095,17.85602478041597
Papaya,108.48442842827896,82.38724500383749,128.49292568602849,30.58037060916243,175.82599098625087,14.66483200776396
Papaya,97.12617297722352,89.61364143565598,111.14420027386187,28.285789068581604,162.48945437783635,15.699803202985121
Papaya,95.87788248696054,82.03495544215163,119.60916355379176,32.75661740330195,175.094633577209,13.923401142735264
Papaya,104.29821747859702,84.40273467926187,110.03951330993965,32.841589655641265,167.3504784403346,12.956214676638542
Papaya,91.3826277228082,72.2222549924528,127.02890052818725,29.00143745263763,152.15379900023262,13.838952396949525
Papaya,102.3844363055498,82.49647534677752,110.59766674687965,31.701109267861057,158.5827348797161,15.380668348116723
Papaya,104.07579795013345,87.45939812165474,125.63740386733343,30.111572025765778,168.04589259869257,15.53077847572201
Papaya,105.43945460945814,74.2611180828119,128.7156710665057,30.877826174550528,133.84278761123358,13.100263998129403
Papaya,109.10263271747984,74.60566551093655,119.12689433658123,30.569309563478775,129.7386570589333,16.635515646597845
Papaya,97.06767773595246,83.72519866005584,127.85003899244613,30.4730571598297,148.26683710377364,14.261283693633692
Papaya,96.636564085705,72.75493970652316,121.2818749225897,32.24687053446793,124.17029245354446,12.518972051419968
Papaya,100.09131396103339,89.84614649928906,119.75626168702259,30.0232057248392,125.00327919817029,14.319983658645851
Papaya,101.72827699360278,75.70527357066167,125.24203322681007,29.620057667890297,133.7935967938881,14.149505133473447
Papaya,107.40772638292967,80.30131770974265,128.00132892183947,31.92354043793607,130.96698994582036,15.688309102114061
Papaya,96.93653649169501,82.30770134647216,127.25103633016805,27.310690393511134,126.28270583023458,16.546741442414167
Papaya,99.93362950553234,82.56698957227529,115.05226081226999,28.112823200019548,130.0249085229118,14.417224939265695
Papaya,108.38429497127993,89.96917503135339,112.75387005239759,32.93044887262939,137.78193721427866,12.501348097105925
Papaya,99.24001673056313,88.17805317814464,129.39293097990134,27.838272859355232,123.10886587984069,16.75629358481452
Papaya,98.20175890177146,87.78707184197674,119.78116952128957,29.754052459665886,178.70332696084841,17.002247692664206
Papaya,98.91180474031532,76.44553643859412,126.19422637557872,32.97109727358467,141.3564838611138,16.234396425318437
Papaya,101.0578441514626,89.35564163034897,114.193870230315,28.14629226111172,174.96908114850527,14.409607643404092
Papaya,108.46851868412796,78.3202274338594,119.0491452001064,30.786819033466713,150.51070851066373,14.873861958113352
Papaya,93.63246478857431,73.91596936615126,120.82431526460574,30.211742514545428,138.92485427303063,13.064353296047303
Papaya,92.78307158342538,71.98345612465026,111.63987090823014,29.585340582051014,155.8046312784061,14.374817987424992
Papaya,91.1093217324549,72.59130728597405,118.13334904413135,31.747492371292648,159.12024181502852,15.527761642035534
Papaya,101.38532918521202,71.37084356692732,121.33579404236741,31.397032230524967,135.74718385398438,16.83421877111802
Papaya,107.28055140418701,82.03302954009011,120.75360737508267,27.527060784868375,139.4465586843565,17.28124714895816
Papaya,106.03606171142147,74.72646022539007,120.88544344541725,29.906633390372555,131.3737653267974,12.926913626758626
Papaya,106.8706685980871,78.68725304940773,122.32352766713444,31.03423859031646,144.62933517336157,15.562174987954963
Papaya,91.59324956859723,80.24496305380278,116.82199054997474,32.51473992392998,128.6556426018057,18.071384831824222
Papaya,95.28266796151689,71.52537113128061,123.737086222319,31.200630524136976,169.20264503932248,14.462024121306774
Papaya,97.92701563476997,80.42292640904103,120.32741235641876,28.04101118038595,135.42984382239956,13.488437187779715
Papaya,99.26369032355127,75.966059829841,121.67307424040166,30.774100270004496,130.97435456815387,15.992712849063745
Papaya,93.45639989418068,87.35665275297995,117.70165733148833,31.540506308664153,134.80479010694913,15.883915156220315
Papaya,100.92654859537339,79.963266431817,117.20277663333924,31.510052038642506,122.08165674716157,15.759652369555878
Papaya,94.4381935242999,86.94176205288211,123.13189922380035,31.64024762798386,141.48015767503824,16.311615267514934
Papaya,92.36734090234329,70.28301879016851,117.8647199415673,28.42550555894857,154.34631406967367,12.576747781999364
Papaya,95.72778639543515,83.65496043404066,121.56440627520567,28.84873076302491,134.71675588951388,16.996305436579593
Papaya,90.0327563069682,73.53869740485462,126.96938791902785,29.768544749599627,128.15204272629288,17.62373942919651
Papaya,109.09920423618674,85.42121535902135,111.95755097064007,31.31097403164139,151.62145039706112,16.017391277781638
Papaya,93.2496943299992,85.65298278979279,114.24310895272961,32.12625554563097,162.36639894308428,16.393927072623413
Papaya,97.87206260373976,71.27244679638332,129.15675657799653,28.95376702106965,154.77561908090757,12.33793589340553
Papaya,104.6510968703272,78.893032580287,115.99019802564769,32.550145476855135,177.483361713912,14.480049029479288
Papaya,92.65884725360456,82.64823748641025,113.15328051232875,30.125950022564922,143.80003337212338,14.218906620233417
Papaya,93.83764565312784,80.80569659251258,120.01759279137721,31.181453887724537,131.78018516896884,12.381668259581483
Papaya,91.56338025162813,72.92118350695009,113.78138500997738,29.019999757561944,167.03896265161205,13.726145032957787
Papaya,103.93559612101627,85.8698342715839,117.31326967680006,32.933464770085955,170.9462949436525,13.050847436366265
Papaya,90.01634884395278,72.95604933279498,127.90683571249744,32.02747612761704,133.7814452415145,12.724249724028375
Papaya,105.88301623353011,73.58951497997627,125.06974831191305,28.964090398144428,148.96351709304247,16.958731521627602
Papaya,101.11741620492779,74.23334075737777,119.70440992590986,27.021511831885594,143.84819188618923,13.63257223319767
Papaya,100.24429034315988,72.8193769731429,126.69691764447737,29.10068852931549,127.99024607192521,15.42361340001377
Papaya,108.26673511882905,82.94553601341082,127.72666847676606,32.5382581977889,130.60868207585798,17.153930698675886
Papaya,91.63556353663479,74.05833869396339,113.49361419701152,32.81992423492012,135.1550353258189,15.441956458246123
Papaya,98.01789113565168,85.09825175319534,110.39194688429025,31.802460802651986,161.4137021139028,17.155587471437684
Papaya,100.27905856126598,87.26761466671365,120.8079932556753,29.651763383348815,140.03322754615536,15.019608637517132
Papaya,106.52163968810487,78.37821244998085,127.49214776711361,28.85435682232068,161.98391550562536,16.671057454968278
Papaya,104.32134414220846,79.29175312131213,116.96369070602286,28.649118662120276,178.75032937088255,16.71277011608865
Papaya,104.17923708336147,70.97417836966184,122.95400406130804,29.02955577953436,133.29159922362928,12.955590737297554
Papaya,97.87125620742454,77.30589804774975,127.3092342991075,30.668085746767705,145.86872944508104,17.430484625879803
Papaya,98.04996141668718,71.18836266380112,114.78260307552415,32.13906853112449,167.7113080571023,14.421672903432603
Papaya,99.53568277355866,85.02728622448402,117.68079895316842,31.185928801865604,130.61153478637004,12.313496459294488
Papaya,92.34917171665106,84.10059753845609,114.25020002476589,27.90058395215898,147.34195158445343,16.49144202590183
Papaya,103.85591402773083,83.68181428947017,123.00584331771861,29.471659497163753,137.39466784257488,15.452769392522411
Papaya,109.37534841362638,82.4484801979888,118.05329948742116,28.523892868555873,126.04556441066937,17.94497341907378
Papaya,91.45355008540358,85.77320415417388,120.86534133570547,31.345878229311335,174.51251119506583,13.378816159117683
Papaya,103.01433539663903,87.86613523392195,114.0590745353035,28.899302282302774,157.922059720395,17.910708923554584
Papaya,107.89255230666659,73.81421164074642,115.99552110994156,29.304253403415245,166.6072529676698,16.828853721068462
Papaya,106.28302581338359,88.23726634016026,129.02625972681386,29.27664387802241,130.7797343322542,16.8049212926185
Papaya,91.22931891875197,82.90487585431902,127.93791865343374,28.687368473389515,176.2172474648841,12.44495828395471
Papaya,107.30123930505516,85.08884597256984,119.04085696780864,27.876908477845962,121.97899671175948,12.576752489974513
Papaya,107.10092758767325,74.72673492487023,115.31302789466174,30.397402259746833,138.5551988618131,14.904219622802932
Papaya,101.57887730925405,72.87099336584424,124.7282442449862,30.92856691851378,170.2376868216754,15.050921338828557
Papaya,94.34737868905668,87.54870906328657,122.80491154156722,31.045678132488888,167.46887964934166,13.220798081877556
Papaya,95.73068340136766,89.14678084273672,122.49799117369456,31.82406886577319,139.45545327444836,13.556336023946184
Papaya,105.94206175323487,73.27029690131594,125.37526881925693,32.49020365938421,144.45200709900368,16.20848794474074
Papaya,97.42536052215912,88.53419077257357,119.37948008128589,27.54730132808983,173.23728300589374,13.860300299513613
Papaya,90.87681436648322,76.18174512459645,110.08996460366721,31.982144818690326,139.3378874602788,12.426727112442217
Papaya,109.45285742796881,82.04451356593599,128.055024912584,28.86894120749305,120.6369385487942,17.532243273685427
Papaya,99.41074649776556,84.62009602491517,115.15053092930866,27.810227039052076,178.43650961922233,13.50851253607307
Papaya,92.44444156100782,70.18667798949704,110.32029997218541,30.85667759153271,129.26687515967845,17.491977021448204
Papaya,93.85236950999507,71.30243928668197,114.5827988032416,27.08495151778917,164.4238386802061,13.62171167921798
Papaya,93.32586754948503,76.16412635434912,111.41689438800461,29.71720442674813,149.75835110933733,15.578971287446878
Papaya,93.71764669291882,74.05596870792559,123.01518374617264,30.690123599145668,127.88766580232817,16.431833888083435
Papaya,105.84168052236413,74.02081062924022,128.56431018659796,29.359734443365937,125.85055223770816,15.449259883880595
Papaya,101.77445199607098,73.3494293454207,110.31698685771266,29.16377491761982,176.77199733582364,13.2993051627152
Papaya,92.28737186498739,89.60981518870432,128.2952841310095,30.131757734303076,124.98156207830421,14.29648787636678
Papaya,103.24722689829115,71.31203482184759,118.61197855739466,27.88279752748773,126.80908030907094,17.58243211712363
Papaya,92.21793628961937,71.72437469241713,114.40384315550925,31.2335011747903,132.106107794106,17.35407919576866
Papaya,91.59704989583801,80.05593814603732,120.43904041752894,27.726370739998202,132.09390304119142,12.86491824887505
Papaya,99.30070714642451,77.33702336296479,123.45541277841829,29.863045263627548,157.54095523650724,12.960901997324358
Papaya,92.28123700496772,85.492419308478,114.22454138949269,30.084744740467798,162.27615006328816,12.310150024890492
Papaya,109.50405707971494,81.54812313261877,116.11188788677366,29.22560331680092,139.57840481015154,14.765648294151822
Papaya,92.67436812858384,70.63351410900007,120.32062162170055,28.293294340312947,178.00445765691282,18.024563449786825
Papaya,95.35218283823863,81.301856255678,115.45011532543892,28.82164715628612,147.613997147854,13.555379880056451
Papaya,106.61516406322701,80.12626793202512,127.12087059756102,32.04714598440492,124.20349488128653,12.243434897563063
Papaya,109.14674191446576,84.44815629860202,127.9927250700817,27.13274390298176,177.15725427183946,13.26262395451955
Papaya,92.04656723925834,86.73031086047374,111.52528580471437,32.480936700537924,128.9763641591329,17.617446787075107
Papaya,94.1364715871659,80.67494189949095,123.1582580565726,32.18586937768373,129.31338236367546,17.87491751096561
Papaya,91.13613529414584,71.39177917200095,124.40995895431291,27.13721168409233,177.92889823449337,12.463308007786281
Papaya,105.40958145399318,76.46827723792296,128.3236857209051,31.76905049974611,134.10716217604562,15.120815962298948
Papaya,96.12709402224127,87.97851816706485,117.6036369931388,30.13056792065417,126.7159991755512,14.75449102205815
Papaya,100.23974470941232,81.68002419195447,124.89957384134692,27.61917214003295,148.2844687050064,13.794729865311187
Papaya,103.20512438393654,73.1864546541794,121.0517420409355,31.51741706204161,131.9104547095247,18.039979414800204
Papaya,102.02774138296907,70.75580520303845,118.08326481670359,30.565057231538212,177.8470504917823,14.544813968048258
Papaya,96.6765070887509,74.88517310243766,125.17422852034738,29.713325610946995,158.9753094931757,18.143742972827393
Papaya,96.94292656431854,73.81027654673008,117.25647040893391,27.846175383517426,124.51841934474355,14.466429879037099
Papaya,103.79917364623884,87.16688141374384,127.57603634202589,29.87542342118853,145.73369889496905,15.053136344776718
Papaya,103.50695026572967,86.94647632335688,127.86594095335784,31.338014478851765,134.5143878343842,18.148075607419205
Papaya,108.04216476344759,85.49935474022419,126.68820609153542,29.906917652364058,127.18190567261786,15.413234934740332
Papaya,96.67815603660321,89.62024292256424,120.81236335538954,27.76830452956488,162.44375379498558,12.447249780485514
Papaya,91.97747631459616,89.20023208021422,117.00786148912627,27.532533036018876,161.83955616158391,17.612020217325192
Papaya,109.24867843424013,88.64527284762326,125.26964220580626,28.87981792723077,126.67734990607403,15.221997836342771
Papaya,102.54747295613714,73.83346726047772,120.21124249353495,28.842875000730164,163.03620524349833,16.090526518670984
Papaya,103.3526541857208,84.49771502880284,118.10985232653445,32.68837073184854,162.2549191666112,13.615419387197793
Pineapple,48.86125343811265,32.14616382155823,91.46977802135014,24.651471243841772,156.43829547519448,22.24079955303243
Pineapple,58.96548598314494,47.53987294310551,90.1165364703476,26.927158434743077,150.0932346806337,23.526132497736857
Pineapple,43.271593063264795,35.03182368330692,102.01719086614676,25.473310491144552,162.56256549371074,18.173842490434104
Pineapple,44.30089957062356,43.13166740160982,108.76378453559683,22.502834696371547,129.0589222631982,22.373547688991685
Pineapple,44.7623826457437,39.456624105912596,95.9671399553296,22.530169450254284,156.7760307493088,20.884391586202202
Pineapple,42.84451815260275,39.17113849220543,100.05314772039802,22.444847914824507,144.160149180075,20.77414960347259
Pineapple,58.245031185600084,49.27974254831753,93.39623984182732,26.243644133163627,159.9816894875095,23.15383152301523
Pineapple,58.573506263979354,48.01703777190376,109.98587788764455,25.344632759758156,126.05877921619285,16.456651588168302
Pineapple,41.66635999350633,47.34708673402023,109.61033803265092,25.896713498707943,174.8025292269889,23.9996884759041
Pineapple,59.541397285555874,48.77806985556555,98.04250843503735,26.539298791411575,154.46712318838618,17.059616660367844
Pineapple,41.49013627985884,30.773758100368184,90.97837795381517,24.28943117738182,167.45331112628418,18.63913311426093
Pineapple,46.719453549663456,42.791125967839676,105.06296340078022,24.724645047126888,163.17599311044714,21.25299475032816
Pineapple,42.23505323109635,32.71469228226212,104.73482045616585,24.555506167595006,163.02505515086844,21.226707073218126
Pineapple,48.633951214054164,42.260906123093534,93.65580385660896,23.788923263728826,121.95071902644905,23.22554585758997
Pineapple,41.4043847115739,48.51488156970371,109.00584609847655,23.050163165413625,145.9960223933303,19.92897201729351
Pineapple,59.59084051743014,33.10813248201485,91.82799958990438,25.47589075770444,155.63075139449322,16.232217640080474
Pineapple,59.92912013480027,36.57987458778068,102.01741939475268,24.172070365389747,129.17356056611658,20.016234317668392
Pineapple,55.85228627872648,38.08883614796311,92.13559393140409,25.597259941844296,143.5083010149254,23.968349479452495
Pineapple,52.126100278077075,38.694346921552096,109.32181184097371,23.7064450137771,154.06857502233788,18.748791303618066
Pineapple,59.692309517065894,32.65110979967457,96.9528781043842,23.318131208848225,172.68527112136846,21.439270430480256
Pineapple,53.37629423749519,39.867997401922366,103.84309317526505,23.349971950851305,179.669735864593,22.768617103767898
Pineapple,47.822105771999944,47.574463666216396,90.23031646059029,26.94212999842984,122.35952139524322,20.13689702075275
Pineapple,43.7224347541558,45.10011619110236,104.9961614247117,22.208353866324927,152.8669408133105,18.982700949594783
Pineapple,52.380257376022264,42.677658284529116,91.1232856398157,25.355072826678935,176.2984941601643,21.46743693532772
Pineapple,55.58401180934725,48.47136994063528,102.47714335896333,23.31607130803144,159.15276349704033,19.44389434721015
Pineapple,56.04207059043283,46.027243463456955,100.51511219930755,22.571531055188597,147.26979886745428,21.217817993098077
Pineapple,58.006807707305846,49.68126638782212,90.33331200937349,27.147690388013302,172.19344787639585,23.272012207544932
Pineapple,42.68772416056166,46.90788369229262,98.16504343564154,22.071269289664432,120.19483159396431,17.81035596637136
Pineapple,44.09324667007445,46.430876652553415,105.84739304019774,23.617055018135268,150.48934675864973,18.127929993612305
Pineapple,41.5341256764974,47.672137788875794,99.77185604504295,26.175349375483115,145.40812693969045,21.30696254697515
Pineapple,46.26159038717306,44.07703164330154,90.78139366423139,22.25094940022857,175.9729124677401,19.96721716439978
Pineapple,51.94557782453225,42.90877479817512,95.3295155406989,23.648246809811468,169.37275682419124,21.894732975326058
Pineapple,46.355750287800724,44.30629391109481,105.60770078552326,25.234235738545767,122.0707700450947,17.365777491816157
Pineapple,53.583107195463825,38.688498902249826,94.52196795034419,26.481123077134555,142.19658171684674,17.676013845638234
Pineapple,49.638350521810665,31.557597523853637,95.48237411113587,25.98187159367872,140.59693584123008,16.3320009770388
Pineapple,49.56661374919612,46.1598669504333,103.1211821916107,25.431564243169134,128.1781608752117,22.129246492190468
Pineapple,46.01709262698931,40.28104952346851,100.82408851911295,24.677697596197053,170.89539745746902,22.052598353728605
Pineapple,57.240080562932654,35.122489232650665,101.59708452337522,24.378358220693457,157.67728565318833,16.574123968041498
Pineapple,41.26839495192214,45.35832131757229,96.30525187477902,24.63233512934979,158.91924633019212,18.980889942667314
Pineapple,44.454871394331434,39.49870739289282,100.30855249633777,22.933269245839067,170.93233257376014,17.614396272018443
Pineapple,45.48454013419776,36.8201722542936,100.2092875015616,24.282486227950123,138.1946519361653,16.101050579859425
Pineapple,47.59507989970189,39.72043121894591,90.26486550281768,24.044272860531294,161.60874565867874,16.19122333333405
Pineapple,41.71966072259611,41.131546724761805,98.44074687446658,27.546052792855434,174.05071652705595,20.236061497711752
Pineapple,52.62043184470865,36.88378333054645,100.22389495400678,22.545217386966467,164.48502935432157,23.28196287623933
Pineapple,55.8159464364675,45.2085363659993,96.44746678078153,23.107391172263462,143.12905509546408,21.55609302573627
Pineapple,42.03733125187608,32.00794185393199,93.5178639209771,26.880564584391593,146.15507702714095,22.863891123306782
Pineapple,48.18988615234074,46.87121846219671,100.73660599767136,23.558550396282463,164.16790273740244,22.471095661187462
Pineapple,56.86407471796291,30.975194966611603,93.38192997606183,27.566931700479508,125.60794627889703,17.76828575673267
Pineapple,57.4735985673303,43.380639960408075,105.5764207373033,23.43861367703632,143.34664207359108,17.48568435504857
Pineapple,49.29622051828903,33.18558084220402,94.66350396445061,23.343431446592454,163.9586965457976,17.671967171643132
Pineapple,43.178353554699555,43.58795889333869,106.14868536106943,27.510160690361324,151.4297813164138,23.105364628095113
Pineapple,50.66799643695937,35.761493678445845,96.42540688935904,24.848970729297154,178.2316822063681,17.617031073382716
Pineapple,56.538677400051725,32.80237240537413,107.33441138610026,27.247422945018474,150.33267777990653,20.755426970421876
Pineapple,40.96638487983485,45.38759837902091,109.50769339180437,26.448410064423136,132.27671696382737,23.23861759777407
Pineapple,54.818925651929824,46.85870488271204,93.69378142081695,24.314173083324913,153.84136927759673,20.774507616125778
Pineapple,58.28254018977884,44.70114028012789,100.50960331371707,23.223448745085634,136.19449711458816,21.71190634337427
Pineapple,58.658548627348395,34.561699595006175,103.86127835369379,24.953990552184663,143.87159214882615,22.937767267666285
Pineapple,49.58435732312276,30.753935223509632,94.73822417408951,23.476990137348324,147.66589385592638,19.97530433521559
Pineapple,50.640174255968084,35.633258483016164,103.16748173251976,26.49137779511389,167.19741680359112,22.127192701970586
Pineapple,47.91740328351585,35.966638572420436,100.59572165361233,26.22546934057743,161.13404988911054,22.150985001847474
Pineapple,56.046110366954835,34.452119483885355,94.96261046017598,27.37649537072492,171.67013878786747,17.795357811815613
Pineapple,59.56538149685201,42.00961834340788,96.5998234371159,24.71805429814348,165.18184994647473,20.90299335101519
Pineapple,58.57261910242238,47.75974044169277,92.48030692935696,27.749480881265196,168.18319918094693,19.16626175889652
Pineapple,44.9201705850863,38.293534559937434,97.99035859694791,22.220928143972635,173.98047601866125,23.750605457515906
Pineapple,56.77796151858129,41.48574586463603,100.92131800398728,27.34344285299388,161.2356510646711,19.91915265064899
Pineapple,47.13495156263689,45.49123812763483,108.95982075601441,25.856840277673193,146.90056027097197,20.57640619781554
Pineapple,52.64602624543422,42.28066989483609,102.19019403610842,25.127943981443686,123.37423379806731,20.113750993611504
Pineapple,51.453499600808044,47.33824724390584,98.88454198528153,24.614541920253664,166.39529955483823,21.038449224509833
Pineapple,59.46711777061346,47.99357320062462,97.39886263799488,27.349475282624343,143.83925775712638,21.89967922867285
Pineapple,40.204367309483345,41.541003202162834,108.66544935921222,27.200791757668274,169.25373247767126,23.562024370175486
Pineapple,59.43777565346151,45.0854315334921,109.53141855010041,24.485356229273354,172.87695531716338,19.106652781638726
Pineapple,55.89828102091197,31.136158066471744,104.21061203753615,27.85071717350433,169.06738655548668,20.816448763557773
Pineapple,58.7409841268532,36.31504142740217,108.22292688411328,23.47960790395211,155.07229605080178,19.785159056816667
Pineapple,47.0916240933698,45.817129620634034,103.95305748180454,26.71929193093802,153.10981990803202,22.896885686242214
Pineapple,53.16281873930214,40.76641978677911,90.50657279514256,24.982277601964,152.5044721701112,17.756198912970742
Pineapple,59.43028960115896,44.547711991062016,97.623640131744,22.112367840201504,140.5393199057318,20.81894017536325
Pineapple,49.09045243370272,38.72639655398654,95.8932711996742,23.55914618414716,138.51637470923745,17.93029171441034
Pineapple,42.321026288001285,35.51936311778934,105.05513277605235,24.83560537267021,144.9151246656473,17.906390611830005
Pineapple,55.354514057258676,44.26168601294736,101.7144245038271,26.741734062679033,128.0339226987764,19.529063026725208
Pineapple,42.7827825065592,33.823565634374944,99.64104375387905,26.09979359377062,155.9123550994162,17.38380355187982
Pineapple,51.14789757807615,48.344769489919926,107.98884014024974,22.690844833381448,176.95175842265297,16.693058959206635
Pineapple,42.67689887317938,40.428583912898304,91.6064114143961,26.200361041249483,173.57408272348943,18.566731743978494
Pineapple,49.01515407305842,37.319454586408405,94.07265368873229,23.76787066208757,123.39679946676726,22.44736473783782
Pineapple,41.90169242851168,32.422242785717586,103.44963842054617,24.932960097273227,153.76288753746095,18.70030330824012
Pineapple,52.642896235840986,41.81177617468985,95.37343508683588,27.119855581731905,137.1849993496383,19.407824969575017
Pineapple,58.12913874694097,41.293029067281594,103.27272840489768,24.261162194676174,149.07308468369845,21.579020757535574
Pineapple,54.2054217391131,45.41130975298108,109.86534361723754,27.876734177962966,174.6675050893478,23.935530013890048
Pineapple,44.070951413041925,47.61584905595836,104.31579723910728,25.31536729860134,126.71556350358125,23.242572657543015
Pineapple,43.806012826491234,37.22682376663109,96.68305517114375,23.995934826231213,138.2014414692659,20.79281852330368
Pineapple,46.02388256337722,41.74864490856359,92.96242753507703,25.47391971348218,143.21963278474237,23.96253556072818
Pineapple,54.390158801326734,41.70382718748222,103.59484272188917,25.594336504729515,132.0827739019231,18.32593897411842
Pineapple,52.14961217803905,43.92493396555729,92.58164491745006,23.31207835272361,174.50825614304,22.812784815797503
Pineapple,49.38633818380677,48.10203319782708,107.15896672164769,26.3455776259486,161.29515116397596,18.187826207149392
Pineapple,46.323694409508974,43.89633428398043,90.76597082574679,24.199798594573004,138.62761085296813,21.79240374491823
Pineapple,56.44913468659861,30.845329284935545,96.9446121855941,26.64653363554361,154.99515176512668,18.88371694104356
Pineapple,54.19011560583222,36.27545216594601,97.81474603465618,23.139992391675005,130.32607368467114,18.874104550670324
Pineapple,50.59058711451962,48.2794827362533,108.60396187260557,26.347060044636958,125.75830727016623,22.775797884025966
Pineapple,44.209273089532005,37.27810796611924,93.76484042318859,25.256680308107327,144.95901515730685,16.41595318231738
Pineapple,58.52234623926324,37.36435110158629,107.05520234255191,25.812569906786237,154.71192008975146,18.307655267987425
Pineapple,43.516025433320316,37.63218222702572,97.07749644097814,23.954026777013183,179.4679679741221,18.183451451665757
Pineapple,41.5538728103375,32.89166542037501,104.0882655586287,26.221664424463913,123.69365823459826,17.46337391343997
Pineapple,46.84012420407905,37.420955607326526,93.37035270959538,26.505496195206682,124.35981077145095,23.793955737718232
Pineapple,55.52559546994618,45.38969551449992,105.62907150621275,22.0778644213868,132.64524006613857,21.255210669243247
Pineapple,49.05954665662169,34.95260476130006,93.47759835463975,24.638364308617156,157.9228417388154,19.363994851154665
Pineapple,47.513373222023475,45.37707605433344,104.7266143034741,22.432341735813456,130.7774839568772,19.64633147917912
Pineapple,45.15921756924226,36.558420919973365,97.46447717293117,22.925095866835814,127.74326595420685,18.201954451411794
Pineapple,54.81628827311564,33.13253997584851,102.04122982489838,24.832501703457375,174.5366506571359,16.18090911535529
Pineapple,45.41192391211129,32.261081670038806,103.1994555835756,22.695697997923805,163.37599548504318,17.927892154453822
Pineapple,55.93313365833842,31.432414017448394,108.2085171772158,23.2007674747286,164.30883267759447,18.966500646227363
Pineapple,50.758250193014156,42.99851304875155,95.2209263275308,22.66150249480654,139.8738198734703,23.52576552066863
Pineapple,52.3041292860735,41.61219369639172,93.69717833993005,23.648778373663024,123.07356932148782,23.325755266598083
Pineapple,48.64461619874683,44.790524116632234,99.19486698755131,27.006720267483217,145.41551929579092,21.537484151786547
Pineapple,57.7981664404343,35.663191065379124,109.55858414864166,24.92667121732886,131.67580212308377,18.090682534071643
Pineapple,48.744195778332326,37.531742013818196,93.15653935590304,23.512372180845176,164.47793877527215,21.599106770128994
Pineapple,42.50256945948698,31.402323281348394,95.39503320557324,26.17350424446741,168.53438587879958,18.84016264548212
Pineapple,57.968679857009775,40.87042503255723,100.19410512849156,25.644158114579795,156.93586787737968,16.947423410271732
Pineapple,45.20064728111552,49.23182265390006,90.62206878725038,26.5109556287172,139.1326381330133,22.054449741535365
Pineapple,48.665462446656804,38.01959049833901,106.14689765831349,22.45241817823343,122.60044656607275,21.79952194078268
Pineapple,43.68469088542086,44.167966182467055,92.08005575708445,22.37118391582201,177.8522530560861,20.93385090912185
Pineapple,58.42479096489487,35.39155988872234,95.82778924806448,25.08433692763866,128.7549340782386,18.428617897658714
Pineapple,43.070908631142196,39.42137441939453,97.31941822946821,22.60983847755793,121.89890231707807,18.225396430762054
Pineapple,51.545119470389224,47.9861110395044,96.81697138009928,22.78801304627409,136.81086027817202,18.993601277547434
Pineapple,57.04917462475567,46.82446739144881,95.03579346216645,27.693504671680863,163.90996632998886,19.964857003131872
Pineapple,57.348310589298585,33.5262227178539,92.72864173568964,25.794721886897023,151.76469982012406,20.213169284499727
Pineapple,59.138522885414666,36.65485717348781,108.13081589566909,27.54046290639355,170.82262564050077,16.84334567350421
Pineapple,40.84798190333843,30.39024712062887,90.81908536161285,23.164842634728636,153.79098637710652,22.117616921440142
